StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q9,Q8,Q1,Q2,Q3,Q4,Q5,Q6,Q7
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Do you use the internet or web-based services at least once per day?,Does your work or education require that you use the internet?,Is data privacy important to you?,Have you ever read a website privacy policy in its entirety?,"Do you typically read website privacy policies, including updates to privacy policies?",Why do you not typically read website privacy policies? Select all that apply.,How often do you change your online behavior in response to the content of a website's privacy policy?,Do website data breaches concern you?,Have you ever been affected by a website data breach?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID9""}","{""ImportId"":""QID8""}","{""ImportId"":""QID6""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID7""}","{""ImportId"":""QID5""}","{""ImportId"":""QID4""}"
2020-04-29 17:19:14,2020-04-29 17:19:21,IP Address,100,7,True,2020-04-29 17:19:22,R_2eWOjYinolFzhIR,anonymous,EN,No,,,,,,,,
2020-04-29 17:18:28,2020-04-29 17:19:24,IP Address,100,55,True,2020-04-29 17:19:24,R_1HqLb7VDPQmR16u,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,Privacy policies are confusing",,Yes,I don't know
2020-04-29 17:19:39,2020-04-29 17:20:36,IP Address,100,57,True,2020-04-29 17:20:36,R_32XxTAGxOpClZ32,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,Privacy policies are uninformative",,Yes,I don't know
2020-04-29 17:23:19,2020-04-29 17:23:59,IP Address,100,40,True,2020-04-29 17:24:00,R_3WVsphopd8klRpT,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing",,Yes,Yes
2020-04-29 17:24:16,2020-04-29 17:24:48,IP Address,100,31,True,2020-04-29 17:24:48,R_2wvFuSR9UwvTY82,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Web privacy does not concern me,Privacy policies are uninformative",,Yes,I don't know
2020-04-29 17:24:42,2020-04-29 17:25:11,IP Address,100,29,True,2020-04-29 17:25:12,R_2Sp0X1oq9R21TIJ,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing,Privacy policies are uninformative",,Yes,I don't know
2020-04-29 17:24:36,2020-04-29 17:26:04,IP Address,100,87,True,2020-04-29 17:26:04,R_Q0M4624gZpZgOtP,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter",,Yes,No
2020-04-29 17:25:17,2020-04-29 17:26:05,IP Address,100,48,True,2020-04-29 17:26:06,R_2dKr1qGWfaWBHNo,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing",,Yes,Yes
2020-04-29 17:28:03,2020-04-29 17:29:31,IP Address,100,88,True,2020-04-29 17:29:31,R_pcJa03dhp91gIU1,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter",,Yes,I don't know
2020-04-29 17:32:54,2020-04-29 17:33:41,IP Address,100,46,True,2020-04-29 17:33:41,R_3lWuMedx9kjmsHW,anonymous,EN,Yes,No,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing,Privacy policies are uninformative",,Yes,Yes
2020-04-29 17:33:04,2020-04-29 17:34:27,IP Address,100,82,True,2020-04-29 17:34:27,R_1KdSZ9aQHZ9v24R,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,Privacy policies are confusing,Privacy policies are uninformative",,Yes,Yes
2020-04-29 17:36:45,2020-04-29 17:37:29,IP Address,100,43,True,2020-04-29 17:37:29,R_T4M7fYwA9Ec1FZf,anonymous,EN,Yes,Yes,Yes,Yes,No,Other,,Yes,I don't know
2020-04-29 17:37:47,2020-04-29 17:38:11,IP Address,100,24,True,2020-04-29 17:38:12,R_UbbaNz1y4PVVG5H,anonymous,EN,Yes,Yes,Yes,No,No,Privacy policies are too long,,Yes,No
2020-04-29 17:37:02,2020-04-29 17:38:15,IP Address,100,73,True,2020-04-29 17:38:16,R_3ps8UauxrSiD4TX,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter",,No,I don't know
2020-04-29 17:37:56,2020-04-29 17:38:50,IP Address,100,53,True,2020-04-29 17:38:50,R_d0Vw9uZJIbCdOmZ,anonymous,EN,Yes,Yes,Yes,Yes,No,I don't have time to read all the privacy policies I encounter,,Yes,Yes
2020-04-29 17:39:39,2020-04-29 17:40:34,IP Address,100,54,True,2020-04-29 17:40:34,R_3jeqCmK2rHmDyx8,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter",,Yes,I don't know
2020-04-29 17:42:25,2020-04-29 17:42:48,IP Address,100,22,True,2020-04-29 17:42:48,R_1DG57Ih5Mewyk6u,anonymous,EN,Yes,Yes,Yes,No,No,Privacy policies are too long,,Yes,Yes
2020-04-29 17:43:53,2020-04-29 17:44:53,IP Address,100,59,True,2020-04-29 17:44:53,R_cORhrZQHpwYQhCp,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I believe my personal information is not at risk,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing",,No,I don't know
2020-04-29 17:45:23,2020-04-29 17:46:06,IP Address,100,42,True,2020-04-29 17:46:06,R_D791Ij1bubW4lsR,anonymous,EN,Yes,Yes,Yes,Yes,No,"Privacy policies are too long,I believe my personal information is not at risk,I don't have time to read all the privacy policies I encounter,Privacy policies are uninformative,Other",,Yes,I don't know
2020-04-29 17:48:17,2020-04-29 17:48:52,IP Address,100,35,True,2020-04-29 17:48:52,R_2WNcZcQhntjpM5w,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing,Privacy policies are uninformative",,Yes,I don't know
2020-04-29 17:48:07,2020-04-29 17:49:04,IP Address,100,57,True,2020-04-29 17:49:04,R_3MuS1qH9bNE9Vqi,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter",,Yes,Yes
2020-04-29 17:48:22,2020-04-29 17:49:15,IP Address,100,52,True,2020-04-29 17:49:15,R_3HtA3wLJ6d2xVuQ,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing",,Yes,No
2020-04-29 17:51:25,2020-04-29 17:52:15,IP Address,100,50,True,2020-04-29 17:52:15,R_3nVHy379yG0lx6L,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing",,Yes,No
2020-04-29 17:52:02,2020-04-29 17:52:46,Spam,100,44,True,2020-04-29 17:52:47,R_3saDGl6265Ip1An,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing",,Yes,Yes
2020-04-29 17:56:32,2020-04-29 17:57:34,IP Address,100,61,True,2020-04-29 17:57:34,R_yIIjMA0Iy4Rrxip,anonymous,EN,Yes,Yes,Yes,Yes,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing",,No,Yes
2020-04-29 17:58:56,2020-04-29 18:00:08,IP Address,100,71,True,2020-04-29 18:00:08,R_DnNAnmI6lerCFIB,anonymous,EN,Yes,Yes,Yes,No,No,Other,,Yes,I don't know
2020-04-29 18:06:26,2020-04-29 18:07:45,IP Address,100,78,True,2020-04-29 18:07:45,R_2xSibReX3r18qnp,anonymous,EN,Yes,Yes,Yes,Yes,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing,Privacy policies are uninformative",,Yes,I don't know
2020-04-29 18:07:17,2020-04-29 18:07:56,IP Address,100,38,True,2020-04-29 18:07:56,R_1mk0b4nAbnAMMFY,anonymous,EN,Yes,Yes,Yes,No,No,Privacy policies are too long,,Yes,I don't know
2020-04-29 18:11:57,2020-04-29 18:12:28,IP Address,100,30,True,2020-04-29 18:12:28,R_1j8JqKJfkIVFUhq,anonymous,EN,Yes,Yes,Yes,No,No,Privacy policies are too long,,Yes,No
2020-04-29 18:12:26,2020-04-29 18:12:58,IP Address,100,32,True,2020-04-29 18:12:59,R_1kSQXSZLvQqp82I,anonymous,EN,Yes,Yes,Yes,No,No,"I don't have time to read all the privacy policies I encounter,Other",,Yes,I don't know
2020-04-29 18:14:51,2020-04-29 18:15:36,IP Address,100,45,True,2020-04-29 18:15:36,R_1i83qu1cQecCa7W,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter",,Yes,I don't know
2020-04-29 18:16:00,2020-04-29 18:16:49,IP Address,100,48,True,2020-04-29 18:16:49,R_24dgkeGrOkL8Z3U,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,Privacy policies are confusing",,Yes,I don't know
2020-04-29 18:17:03,2020-04-29 18:17:31,IP Address,100,27,True,2020-04-29 18:17:31,R_2YaJAtTbTOFESHx,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I believe my personal information is not at risk,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing,Privacy policies are uninformative",,Yes,Yes
2020-04-29 18:21:23,2020-04-29 18:22:19,IP Address,100,56,True,2020-04-29 18:22:19,R_ctNJBA1UE2quPWF,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing",,Yes,No
2020-04-29 18:22:39,2020-04-29 18:23:21,IP Address,100,41,True,2020-04-29 18:23:21,R_vZWLFnhA41sm0PD,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing",,Yes,I don't know
2020-04-29 18:34:10,2020-04-29 18:34:55,IP Address,100,44,True,2020-04-29 18:34:55,R_pxuMTkaORktjnpf,anonymous,EN,Yes,Yes,Yes,No,No,Privacy policies are too long,,Yes,No
2020-04-29 18:38:31,2020-04-29 18:39:18,IP Address,100,47,True,2020-04-29 18:39:19,R_2tru5H5BLHprOTq,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing",,Yes,I don't know
2020-04-29 18:42:51,2020-04-29 18:43:30,IP Address,100,38,True,2020-04-29 18:43:30,R_AFMRcAFbsyXSSOZ,anonymous,EN,Yes,Yes,Yes,Yes,No,"I don't have time to read all the privacy policies I encounter,Privacy policies are confusing,Privacy policies are uninformative",,Yes,I don't know
2020-04-29 18:50:38,2020-04-29 18:52:07,IP Address,100,88,True,2020-04-29 18:52:07,R_1LOm8wK7B2cPJKq,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,Privacy policies are confusing,Other",,Yes,I don't know
2020-04-29 18:57:22,2020-04-29 18:58:04,IP Address,100,41,True,2020-04-29 18:58:05,R_217ibClbvlm26Mb,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Other",,Yes,No
2020-04-29 18:59:00,2020-04-29 18:59:51,IP Address,100,50,True,2020-04-29 18:59:51,R_3ebkr6iWUeEkIua,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing",,No,No
2020-04-29 18:59:40,2020-04-29 19:00:33,IP Address,100,52,True,2020-04-29 19:00:33,R_z8p1k14EDoyNcRj,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,Privacy policies are confusing",,Yes,No
2020-04-29 19:48:05,2020-04-29 19:48:40,IP Address,100,35,True,2020-04-29 19:48:40,R_3lLlQNiNuQoeWRP,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing",,Yes,I don't know
2020-04-29 19:53:49,2020-04-29 19:54:50,IP Address,100,60,True,2020-04-29 19:54:51,R_2y1vRNcjPrImkta,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I believe my personal information is not at risk,I don't have time to read all the privacy policies I encounter",,Yes,No
2020-04-29 19:55:57,2020-04-29 19:56:37,IP Address,100,40,True,2020-04-29 19:56:37,R_50zoYeXk8CY6EBb,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing,Privacy policies are uninformative,Other",,Yes,Yes
2020-04-29 19:53:51,2020-04-29 19:58:34,IP Address,100,282,True,2020-04-29 19:58:34,R_262pjJtFHLfkyGC,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing",,Yes,I don't know
2020-04-29 20:03:25,2020-04-29 20:04:14,IP Address,100,49,True,2020-04-29 20:04:14,R_3RsYg5ELAGwgL9p,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,Privacy policies are confusing",,Yes,I don't know
2020-04-29 20:06:35,2020-04-29 20:08:12,IP Address,100,97,True,2020-04-29 20:08:12,R_2fBTinFW95D3LNp,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing,Privacy policies are uninformative",,Yes,I don't know
2020-04-29 20:18:07,2020-04-29 20:18:36,IP Address,100,29,True,2020-04-29 20:18:37,R_r9FjSVDYmZYEP17,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing",,Yes,Yes
2020-04-29 20:32:56,2020-04-29 20:33:31,IP Address,100,34,True,2020-04-29 20:33:31,R_3eyFLEDOrB7O8bX,anonymous,EN,Yes,Yes,Yes,No,No,Privacy policies are too long,,Yes,I don't know
2020-04-29 20:46:24,2020-04-29 20:46:57,IP Address,100,32,True,2020-04-29 20:46:57,R_3wrej491yvpHeAF,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing",,Yes,No
2020-04-29 20:48:22,2020-04-29 20:48:57,IP Address,100,35,True,2020-04-29 20:48:58,R_246OtXQEdhvrL2h,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing",,Yes,Yes
2020-04-29 20:52:39,2020-04-29 20:53:19,IP Address,100,39,True,2020-04-29 20:53:19,R_2qEQXoojl3zXNWi,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I believe my personal information is not at risk,I don't have time to read all the privacy policies I encounter",,Yes,I don't know
2020-04-29 21:01:12,2020-04-29 21:01:58,IP Address,100,46,True,2020-04-29 21:01:59,R_2BtIPyTrVVVZc2y,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,Privacy policies are confusing",,Yes,I don't know
2020-04-29 21:18:14,2020-04-29 21:18:51,IP Address,100,36,True,2020-04-29 21:18:51,R_12bWkb3Msy5dTsR,anonymous,EN,Yes,Yes,Yes,Yes,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are uninformative,Other",,Yes,Yes
2020-04-29 21:18:39,2020-04-29 21:19:57,IP Address,100,77,True,2020-04-29 21:19:57,R_2ToeRhO8gHq57ru,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing,Other",,Yes,I don't know
2020-04-29 21:22:49,2020-04-29 21:23:21,IP Address,100,32,True,2020-04-29 21:23:21,R_2TGeqZBNRr1ElMj,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing",,Yes,I don't know
2020-04-29 21:38:09,2020-04-29 21:38:40,IP Address,100,30,True,2020-04-29 21:38:40,R_2ZCZoYiUgKRU9k8,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing",,Yes,Yes
2020-04-29 21:58:57,2020-04-29 21:59:40,IP Address,100,43,True,2020-04-29 21:59:40,R_2y7UOj6xiUZ0c9h,anonymous,EN,Yes,Yes,No,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Web privacy does not concern me",,No,No
2020-04-29 22:24:07,2020-04-29 22:25:20,IP Address,100,72,True,2020-04-29 22:25:21,R_3qBYTNEoA6vBktQ,anonymous,EN,Yes,Yes,Yes,Yes,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing",,Yes,No
2020-04-29 22:29:10,2020-04-29 22:29:33,IP Address,100,22,True,2020-04-29 22:29:33,R_3fUdW9hnSJwIHqd,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter",,Yes,Yes
2020-04-29 22:44:21,2020-04-29 22:45:12,IP Address,100,50,True,2020-04-29 22:45:12,R_ukRulxHCXHkzE1b,anonymous,EN,Yes,Yes,No,No,No,"Privacy policies are too long,I believe my personal information is not at risk,I don't have time to read all the privacy policies I encounter,Web privacy does not concern me,Privacy policies are confusing,Privacy policies are uninformative",,No,Yes
2020-04-29 23:03:05,2020-04-29 23:03:51,IP Address,100,45,True,2020-04-29 23:03:51,R_2yraeMnyozaA2ji,anonymous,EN,Yes,Yes,Yes,No,No,Privacy policies are too long,,Yes,Yes
2020-04-29 23:16:59,2020-04-29 23:18:00,IP Address,100,61,True,2020-04-29 23:18:00,R_1gkdyzxauHMK5wm,anonymous,EN,Yes,Yes,Yes,No,No,Privacy policies are too long,,Yes,No
2020-04-29 23:19:38,2020-04-29 23:20:37,IP Address,100,58,True,2020-04-29 23:20:37,R_1ouptKPsvqm2wXF,anonymous,EN,Yes,Yes,Yes,Yes,No,"Privacy policies are too long,Privacy policies are uninformative,Other",,Yes,I don't know
2020-04-29 23:42:53,2020-04-29 23:43:44,IP Address,100,51,True,2020-04-29 23:43:44,R_3CWcKSX9wEdo28H,anonymous,EN,Yes,Yes,No,No,No,Privacy policies are too long,,Yes,I don't know
2020-04-30 01:39:52,2020-04-30 01:40:41,IP Address,100,49,True,2020-04-30 01:40:42,R_z37fdUh2YP0INXz,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing",,Yes,I don't know
2020-04-30 03:13:49,2020-04-30 03:14:46,IP Address,100,56,True,2020-04-30 03:14:46,R_1CDbaNS5OoLttEA,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I believe my personal information is not at risk",,Yes,Yes
2020-04-30 03:56:43,2020-04-30 03:57:31,IP Address,100,47,True,2020-04-30 03:57:31,R_1rOEhnSA44vN44K,anonymous,EN,Yes,Yes,Yes,No,Yes,,Always,Yes,Yes
2020-04-30 06:54:50,2020-04-30 06:55:40,IP Address,100,49,True,2020-04-30 06:55:40,R_BFAp3Q5bLOs3qut,anonymous,EN,Yes,Yes,No,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are uninformative",,Yes,No
2020-04-30 07:30:09,2020-04-30 07:30:51,IP Address,100,41,True,2020-04-30 07:30:51,R_bsdpMusdNIdaga5,anonymous,EN,Yes,Yes,Yes,Yes,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing,Privacy policies are uninformative",,Yes,I don't know
2020-04-30 07:52:02,2020-04-30 07:52:34,IP Address,100,31,True,2020-04-30 07:52:34,R_25sZS1CZBHnhLs8,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing",,Yes,Yes
2020-04-30 07:55:06,2020-04-30 07:55:48,IP Address,100,41,True,2020-04-30 07:55:48,R_TvD0hnu0uQheASJ,anonymous,EN,Yes,Yes,No,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter",,Yes,I don't know
2020-04-30 10:46:00,2020-04-30 10:46:43,IP Address,100,43,True,2020-04-30 10:46:43,R_2UaoRIJisaBfR90,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,Privacy policies are uninformative",,Yes,No
2020-04-30 10:46:22,2020-04-30 10:47:02,IP Address,100,39,True,2020-04-30 10:47:02,R_3EWMW51hUYHP54Y,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing",,Yes,Yes
2020-04-30 10:47:45,2020-04-30 10:48:15,IP Address,100,29,True,2020-04-30 10:48:15,R_1gHdBohBnltRhmh,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing",,Yes,Yes
2020-04-30 12:01:15,2020-04-30 12:09:45,IP Address,100,509,True,2020-04-30 12:09:45,R_333G7NpyH1IwB01,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Other",,Yes,Yes
2020-04-30 12:38:34,2020-04-30 12:39:24,IP Address,100,49,True,2020-04-30 12:39:24,R_3LjVpsNbr5xSux3,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter",,Yes,Yes
2020-04-30 13:18:41,2020-04-30 13:19:48,IP Address,100,67,True,2020-04-30 13:19:48,R_3pi3W1rNnKKSCIu,anonymous,EN,Yes,Yes,Yes,Yes,No,"I don't have time to read all the privacy policies I encounter,Privacy policies are confusing",,Yes,Yes
2020-04-30 13:55:34,2020-04-30 13:56:36,IP Address,100,61,True,2020-04-30 13:56:36,R_2f9Nn1gwuugRpVD,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Other",,Yes,I don't know
2020-04-30 14:17:38,2020-04-30 14:18:11,IP Address,100,32,True,2020-04-30 14:18:11,R_23fsybzEClny8NX,anonymous,EN,Yes,Yes,Yes,No,No,"I don't have time to read all the privacy policies I encounter,Privacy policies are confusing,Privacy policies are uninformative",,Yes,No
2020-04-30 15:38:23,2020-04-30 15:39:02,IP Address,100,39,True,2020-04-30 15:39:03,R_3oZ6981u0EKYaJN,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing",,Yes,Yes
2020-04-30 16:37:11,2020-04-30 16:37:49,IP Address,100,37,True,2020-04-30 16:37:50,R_PtFYiypVupqvT4l,anonymous,EN,Yes,Yes,Yes,No,No,"Privacy policies are too long,I don't have time to read all the privacy policies I encounter,Privacy policies are confusing",,Yes,Yes
